"","Headline","Skills","Linkedin"
"589","Senior Data Scientist at Target","Financial Modeling",2
"592","Senior Data Scientist at Target","R",3
"593","Senior Data Scientist at Target","SAS",2
"594","Senior Data Scientist at Target","Stata",1
"595","Data Scientist at IBM | Quantitative Analysis","Matlab",4
"596","Data Scientist at IBM | Quantitative Analysis","C++",3
"597","Data Scientist at IBM | Quantitative Analysis","Bloomberg",4
"598","Data Scientist at IBM | Quantitative Analysis","Data Analysis",2
"599","Data Scientist at IBM | Quantitative Analysis","Financial Modeling",2
"600","Data Scientist at IBM | Quantitative Analysis","Investment Banking",1
"601","Data Scientist at IBM | Quantitative Analysis","Machine Learning",2
"602","Data Scientist at IBM | Quantitative Analysis","Quantitative Analytics",1
"604","Data Scientist at IBM | Quantitative Analysis","Statistics",1
"606","Data Scientist at IBM | Quantitative Analysis","Microsoft Excel",2
"607","Data Scientist at IBM | Quantitative Analysis","Microsoft Office",1
"608","Data Scientist at IBM | Quantitative Analysis","Python",1
"610","Data Scientist at IBM | Quantitative Analysis","SQL",1
"615","Data Scientist at IBM | Quantitative Analysis","machin learning",1
"617","Marketing Data Scientist at Facebook","R",21
"618","Marketing Data Scientist at Facebook","Data Mining",19
"619","Marketing Data Scientist at Facebook","VBA",17
"620","Marketing Data Scientist at Facebook","Financial Modeling",15
"621","Marketing Data Scientist at Facebook","Data Analysis",11
"622","Marketing Data Scientist at Facebook","Investment Management",9
"623","Marketing Data Scientist at Facebook","Financial Risk",6
"624","Marketing Data Scientist at Facebook","Equity Research",6
"625","Marketing Data Scientist at Facebook","Financial Analysis",6
"626","Marketing Data Scientist at Facebook","Analysis",5
"627","Marketing Data Scientist at Facebook","Portfolio Management",4
"628","Marketing Data Scientist at Facebook","Derivatives",4
"629","Marketing Data Scientist at Facebook","Stata",14
"630","Marketing Data Scientist at Facebook","SPSS",12
"631","Marketing Data Scientist at Facebook","Matlab",8
"632","Marketing Data Scientist at Facebook","Quantitative Finance",7
"633","Marketing Data Scientist at Facebook","Time Series Analysis",2
"634","Marketing Data Scientist at Facebook","Pricing Analysis",1
"635","Analytics at Google","SQL",5
"636","Analytics at Google","Python",3
"637","Analytics at Google","R",4
"638","Analytics at Google","Process Automation",1
"639","Analytics at Google","Analytics",7
"640","Analytics at Google","Project Management",2
"641","Analytics at Google","Business Strategy",5
"642","Analytics at Google","Event Management",9
"643","Analytics at Google","Press Releases",3
"644","Analytics at Google","Entrepreneurship",7
"645","Analytics at Google","Text Editing",1
"646","Analytics at Google","Music",10
"647","Analytics at Google","Art",7
"648","Analytics at Google","Poetry",3
"649","Analytics at Google","QlikView",3
"650","Analytics at Google","Microsoft Office",5
"651","Analytics at Google","VBA",1
"652","Analytics at Google","C",11
"653","Analytics at Google","Java",5
"654","Analytics at Google","HTML",2
"655","Analytics at Google","Matlab",3
"656","Analytics at Google","Team Management",1
"657","Analytics at Google","Retail Sales Analysis",3
"658","Data Scientist at TransferWise","Analytics",18
"659","Data Scientist at TransferWise","Data Analysis",18
"660","Data Scientist at TransferWise","Predictive Modeling",13
"661","Data Scientist at TransferWise","Statistical Modeling",11
"662","Data Scientist at TransferWise","Actuarial Science",7
"663","Data Scientist at TransferWise","Quantitative Research",6
"664","Data Scientist at TransferWise","Economics",4
"665","Data Scientist at TransferWise","Data Mining",4
"666","Data Scientist at TransferWise","Segmentation",2
"667","Data Scientist at TransferWise","Customer Insight",2
"668","Data Scientist at TransferWise","Econometrics",2
"669","Data Scientist at TransferWise","Analysis",2
"670","Data Scientist at TransferWise","Consulting",2
"671","Data Scientist at TransferWise","Statistics",1
"672","Data Scientist at TransferWise","General Insurance",1
"673","Data Scientist at TransferWise","Financial Analysis",1
"674","Data Scientist at TransferWise","VBA",11
"675","Data Scientist at TransferWise","R",6
"676","Data Scientist at TransferWise","SAS",4
"677","Data Scientist at TransferWise","SQL",3
"678","Data Scientist at TransferWise","Python",2
"679","Data Scientist at TransferWise","Predictive Analytics",5
"680","Data Scientist at TransferWise","Marketing Mix Modeling",5
"681","Data Scientist at TransferWise","Econometric Modeling",2
"682","Data Scientist at TransferWise","Multivariate Testing",1
"683","Data Scientist at TransferWise","Marketing Analytics",1
"684","Data Scientist at TransferWise","Questionnaire Design",1
"685","Data Scientist at TransferWise","Pricing Analysis",1
"686","Vice President, Data Scientist at BlackRock","Python",21
"687","Vice President, Data Scientist at BlackRock","Data Science",19
"688","Vice President, Data Scientist at BlackRock","Machine Learning",19
"689","Vice President, Data Scientist at BlackRock","Data Analysis",43
"690","Vice President, Data Scientist at BlackRock","Big Data",13
"691","Vice President, Data Scientist at BlackRock","Statistics",38
"692","Vice President, Data Scientist at BlackRock","Statistical Modeling",28
"693","Vice President, Data Scientist at BlackRock","Data Mining",29
"694","Vice President, Data Scientist at BlackRock","Marketing",6
"695","Vice President, Data Scientist at BlackRock","Bioinformatics",6
"696","Vice President, Data Scientist at BlackRock","Algorithms",5
"697","Vice President, Data Scientist at BlackRock","Analytics",6
"698","Vice President, Data Scientist at BlackRock","Analysis",3
"699","Vice President, Data Scientist at BlackRock","Quantitative Analytics",4
"700","Vice President, Data Scientist at BlackRock","Optimization",4
"701","Vice President, Data Scientist at BlackRock","Analytical Skills",2
"702","Vice President, Data Scientist at BlackRock","R",43
"703","Vice President, Data Scientist at BlackRock","SAS",24
"704","Vice President, Data Scientist at BlackRock","Matlab",21
"705","Vice President, Data Scientist at BlackRock","Java",15
"706","Vice President, Data Scientist at BlackRock","C++",14
"707","Vice President, Data Scientist at BlackRock","SQL",24
"708","Vice President, Data Scientist at BlackRock","LaTeX",6
"709","Vice President, Data Scientist at BlackRock","Microsoft Excel",7
"710","Vice President, Data Scientist at BlackRock","SPSS",8
